country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
nor,33,34,3,68,93,46.68632394,23.45828888,9.10892864,7.285012857,5.06861588
npl,65,67,84,89,7,0.191164439,0.100145804,0.084944914,0.073729474,0.041152467
nru,27,87,33,74,84,0.039266459,0.005500383,0.002219805,0.000744385,0.000607561
nzl,2,1,24,5,33,6.226264723,3.473261721,1.92666197,1.573108247,1.362162699
omn,33,34,68,51,58,18.27717851,3.756782057,0.736260345,0.681018259,0.585133107
pak,65,84,4,33,97,7.125415743,3.930016017,2.443700635,1.027899714,0.967524898
pan,79,33,54,5,76,1.290122068,1.197776486,0.338428755,0.291911022,0.266372061
pcn,77,7,76,75,84,0.000457763,0.000211647,0.000199906,0.000144161,0.000144104
per,28,97,68,33,8,10.32144141,6.776954304,3.781591306,1.875417751,1.814376176
phl,77,75,76,28,5,31.66561214,6.341815723,2.504667945,2.355278619,2.289220486
plw,3,93,79,11,64,0.012962689,0.000190349,0.000177598,0.000164168,0.000149002
png,97,28,33,24,42,1.927032802,1.33623322,0.851941196,0.532776556,0.435448379
pol,78,77,82,76,71,15.08258241,10.23743173,6.560220472,6.285278162,5.695810531
prk,32,28,84,67,33,0.359467216,0.231489444,0.20260934,0.168424185,0.095929386
prt,78,84,77,69,64,4.512310977,2.855429755,2.485049529,1.701463969,1.678550221
pry,22,1,4,8,35,1.57137342,0.773916027,0.398670389,0.344929621,0.300353464
pse,54,66,42,5,1,0.038103058,0.022908356,0.007087379,0.004831493,0.003765635
pyf,66,5,3,42,89,0.135252151,0.008623309,0.006348133,0.005012817,0.004547014
qat,33,34,58,51,56,29.43918438,24.89001489,1.27340785,0.977403703,0.646172809
rou,78,77,76,84,74,5.096642872,4.919602416,3.335557053,3.10250872,2.04440097
rus,33,34,68,67,93,189.1172324,37.17996883,20.66003165,18.01952442,14.57158425
rwa,7,28,21,68,61,0.082308354,0.071767006,0.003479907,0.001571373,0.001445662
sau,33,58,51,34,56,169.162384,12.04695923,10.23912546,4.872327735,0.869430359
sdn,33,97,0,22,29,7.803915151,1.322406419,0.165884503,0.165535811,0.091033789
sen,3,33,66,52,97,0.26248649,0.249723694,0.158178594,0.1370977,0.116432031
sgp,77,33,93,51,75,44.04453649,43.35815819,18.05400123,16.06922636,14.78936052
sgs,89,68,78,76,93,0.004433128,0.00050255,0.000377222,0.000149644,0.000108961
shn,3,74,79,89,93,0.009641126,0.003282637,0.002334695,0.000786779,0.000562731
slb,24,3,42,7,22,0.2842604,0.033170972,0.020094045,0.015393496,0.005972247
sle,28,66,7,79,97,0.100735705,0.089020031,0.042493389,0.026477495,0.007750755
slv,84,7,89,65,6,1.708892135,0.238920323,0.231307865,0.226535334,0.21664142
smr,75,76,74,65,72,0.023959147,0.021174526,0.016240405,0.015391565,0.013019094
som,0,97,24,94,1,0.161297872,0.034301114,0.031132706,0.016653349,0.010556794
spm,3,68,84,87,29,0.004585974,0.00012918,0.000112109,0.000076526,0.000059761
srb,67,68,77,5,4,0.982207045,0.586244849,0.518805682,0.496784728,0.467341945
stp,7,77,76,58,87,0.007004184,0.001490045,0.000611599,0.00047584,0.000295595
sur,97,28,33,3,5,0.916174921,0.426882526,0.103251439,0.073037098,0.062256906
svk,78,76,67,77,74,12.57012668,8.483658397,3.512691693,3.497507612,2.457037937
svn,78,77,54,74,69,3.011047388,2.334047697,1.863196335,1.15562103,0.919111317
swe,78,74,54,33,64,13.52703089,9.118363982,8.999101409,8.745917626,8.594279924
swz,6,55,84,9,33,0.161150219,0.120566183,0.088346151,0.086034632,0.042505633
syc,3,75,87,33,8,0.263571561,0.03367498,0.007230994,0.005600422,0.004291524
syr,33,65,5,27,0,4.860759217,0.453004472,0.371971343,0.225194755,0.215162618
tca,93,3,77,78,68,0.005301301,0.003638535,0.001070613,0.001011261,0.000862373
tcd,33,26,52,66,69,2.478083324,0.097211947,0.072304134,0.066526285,0.051392238
tgo,7,66,97,27,24,0.290191259,0.122830884,0.121648914,0.092891023,0.042325196
tha,77,75,78,76,74,23.75867218,22.15866323,17.9208284,10.28482864,8.417167373
tjk,68,5,26,28,3,0.555383492,0.145276509,0.13182679,0.026069725,0.021509826
tkl,4,67,74,69,71,0.001790014,0.001304989,0.001301124,0.001204001,0.001177114
tkm,34,33,26,65,58,0.9136942,0.64268185,0.249842162,0.227017414,0.087346034
tls,33,34,7,72,64,0.021300056,0.016770474,0.013490862,0.0029359,0.002052839
ton,3,5,7,29,79,0.004621837,0.002584809,0.000505714,0.000420158,0.000323517
tto,34,33,52,51,67,4.379062574,3.182462455,1.804556691,1.355339133,1.005353559
tun,84,77,33,56,85,3.407339663,2.487802773,2.206422726,0.82073525,0.546223156
tur,84,78,67,65,77,14.00409946,12.82777092,9.220304518,7.400565052,6.976764402
tuv,3,79,84,77,83,0.011506016,0.000970355,0.000273424,0.000156325,0.000106409
tza,97,28,5,7,12,0.491736619,0.330992825,0.248254434,0.194904313,0.185076812
uga,7,3,97,12,29,0.329290552,0.121859414,0.102947985,0.102551859,0.051498211
ukr,67,28,33,4,79,15.89178429,4.370624047,4.024281067,3.171323182,2.677835131
umi,54,3,78,12,77,0.024583467,0.003003475,0.002014212,0.001949155,0.001115086
ury,1,22,4,25,2,1.132547985,0.798511009,0.76655795,0.59065211,0.334454422
usa,77,78,71,33,74,92.03184852,80.7028579,64.18325656,56.31460931,55.29383051
uzb,26,68,52,5,78,0.90765923,0.624527566,0.592003341,0.513993827,0.462052953
vat,74,89,93,78,77,0.001465944,0.000838865,0.000819592,0.000603548,0.000197095
vct,79,5,4,89,11,0.105366946,0.007968477,0.003829368,0.001927574,0.00162998
ven,33,28,67,68,51,50.2966696,1.159979111,1.102347647,0.759013632,0.476993555
vgb,79,66,89,51,93,0.16921947,0.100776033,0.037433515,0.014758018,0.013459807
vnm,84,85,33,89,3,10.13990749,7.188698423,5.135649276,4.269583502,4.076696516
vut,79,3,7,22,42,0.233156977,0.173961153,0.00543703,0.005420899,0.005023307
wlf,58,67,74,93,66,0.00032963,0.000326209,0.000178132,0.000116321,0.000058881
wsm,77,74,69,71,89,0.040539181,0.007865122,0.003970165,0.001822899,0.001567398
yem,33,34,97,3,5,5.306871806,1.09122097,0.314836008,0.175487938,0.066627499
zaf,28,68,67,97,78,13.55466297,12.38420657,6.926593303,5.955102057,5.686840762
zmb,68,12,69,28,66,3.96937597,0.207715115,0.203076919,0.116958455,0.100282047
zwe,12,67,68,26,66,0.307986737,0.193435138,0.116686098,0.103325422,0.092148547
