year;origin;destination;
1993;aut;hkg;
1993;aut;hnd;
1993;aut;hrv;
1993;aut;hti;
1993;aut;hun;
1993;aut;idn;
1993;aut;ind;
1993;aut;iot;
1993;aut;irl;
1993;aut;irn;
1993;aut;irq;
1993;aut;isl;
1993;aut;isr;
1993;aut;ita;
1993;aut;jam;
1993;aut;jor;
1993;aut;jpn;
1993;aut;kaz;
1993;aut;ken;
1993;aut;kgz;
1993;aut;khm;
1993;aut;kir;
1993;aut;kna;
1993;aut;kor;
1993;aut;kwt;
1993;aut;lao;
1993;aut;lbn;
1993;aut;lbr;
1993;aut;lby;
1993;aut;lca;
1993;aut;lka;
1993;aut;ltu;
1993;aut;lva;
1993;aut;mac;
1993;aut;mar;
1993;aut;mda;
1993;aut;mdg;
1993;aut;mdv;
1993;aut;mex;
1993;aut;mkd;
1993;aut;mli;
1993;aut;mlt;
1993;aut;mmr;
1993;aut;mng;
1993;aut;moz;
1993;aut;mrt;
1993;aut;msr;
1993;aut;mtq;
1993;aut;mus;
1993;aut;mwi;
1993;aut;mys;
1993;aut;ncl;
1993;aut;ner;
1993;aut;nga;
1993;aut;nic;
1993;aut;nld;
1993;aut;nor;
1993;aut;npl;
1993;aut;nru;
1993;aut;nzl;
1993;aut;omn;
1993;aut;pak;
1993;aut;pan;
1993;aut;pcn;
1993;aut;per;
1993;aut;phl;
1993;aut;png;
1993;aut;pol;
1993;aut;prk;
1993;aut;prt;
1993;aut;pry;
1993;aut;qat;
1993;aut;reu;
1993;aut;rou;
1993;aut;rus;
1993;aut;rwa;
1993;aut;sau;
1993;aut;scg;
1993;aut;sdn;
1993;aut;sen;
1993;aut;sgp;
1993;aut;shn;
1993;aut;slb;
1993;aut;sle;
1993;aut;slv;
1993;aut;som;
1993;aut;spm;
1993;aut;stp;
1993;aut;sur;
1993;aut;svk;
1993;aut;svn;
1993;aut;swe;
1993;aut;syc;
1993;aut;syr;
1993;aut;tca;
1993;aut;tcd;
1993;aut;tgo;
1993;aut;tha;
1993;aut;tjk;
1993;aut;tkm;
1993;aut;ton;
1993;aut;tto;
1993;aut;tun;
1993;aut;tur;
1993;aut;tuv;
1993;aut;tza;
1993;aut;uga;
1993;aut;ukr;
1993;aut;ury;
1993;aut;usa;
1993;aut;uzb;
1993;aut;vct;
1993;aut;ven;
1993;aut;vnm;
1993;aut;wsm;
1993;aut;yem;
1993;aut;zaf;
1993;aut;zmb;
1993;aut;zwe;
1993;aze;are;
1993;aze;aus;
1993;aze;aut;
1993;aze;bel;
1993;aze;can;
1993;aze;che;
1993;aze;chn;
1993;aze;cze;
1993;aze;deu;
1993;aze;dnk;
1993;aze;egy;
1993;aze;esp;
1993;aze;fin;
1993;aze;fra;
1993;aze;gbr;
1993;aze;grc;
1993;aze;hkg;
1993;aze;hrv;
1993;aze;hun;
1993;aze;ind;
1993;aze;irl;
1993;aze;isr;
1993;aze;ita;
1993;aze;jam;
1993;aze;jpn;
1993;aze;kor;
1993;aze;mys;
1993;aze;nld;
1993;aze;nor;
1993;aze;nzl;
1993;aze;pol;
1993;aze;prt;
1993;aze;rou;
1993;aze;sau;
1993;aze;svn;
1993;aze;swe;
1993;aze;tha;
1993;aze;tur;
1993;aze;usa;
1993;bel;abw;
1993;bel;afg;
1993;bel;ago;
1993;bel;aia;
1993;bel;alb;
1993;bel;and;
1993;bel;ant;
1993;bel;are;
1993;bel;arg;
1993;bel;arm;
1993;bel;atg;
1993;bel;aus;
1993;bel;aut;
1993;bel;aze;
1993;bel;bdi;
1993;bel;ben;
1993;bel;bfa;
1993;bel;bgd;
1993;bel;bgr;
1993;bel;bhr;
1993;bel;bhs;
1993;bel;bih;
1993;bel;blr;
1993;bel;blz;
1993;bel;bmu;
1993;bel;bol;
1993;bel;bra;
1993;bel;brb;
1993;bel;brn;
1993;bel;btn;
1993;bel;caf;
1993;bel;can;
1993;bel;cck;
1993;bel;che;
1993;bel;chl;
1993;bel;chn;
1993;bel;civ;
1993;bel;cmr;
1993;bel;cod;
1993;bel;cog;
1993;bel;cok;
1993;bel;col;
1993;bel;com;
1993;bel;cpv;
1993;bel;cri;
1993;bel;cub;
1993;bel;cym;
1993;bel;cyp;
1993;bel;cze;
1993;bel;deu;
1993;bel;dji;
1993;bel;dma;
1993;bel;dnk;
1993;bel;dom;
1993;bel;dza;
1993;bel;ecu;
1993;bel;egy;
1993;bel;esp;
1993;bel;est;
1993;bel;eth;
1993;bel;fin;
